id	body_url	category_program	condition	description_long	description_short	image_url	in_stock	name	price	quantity_in_stock
03340	https://www.pureromance.com/Shop/Lube-Creams/Enhancement-Creams/O-Couples-Enhancement-Cream-Vanilla-Frosting	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	The strongest of the Pure Romance enhancement creams, &ldquo;O&rdquo; features our exclusive TriPlex Tingle&trade;. It&#39;s powerful enough for both women and men to enjoy.	Couples&#39; Enhancement Cream	https://www.pureromance.com/getmetafile/c1c18f0f-68fe-4fd9-9426-4a24c2fb26c9/O_VanillaFrosting_0416.aspx	False	O Couples Enhancement Cream Vanilla Frosting	20	-12
03366	https://www.pureromance.com/Shop/Lube-Creams/Enhancement-Creams/Amp-Enhancement-Gel-Original	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Pump up the volume on your intimate moments! Amp enhancement gel can help intensify your arousal for up to an hour, thanks to our exclusive TriPlex Tingle&trade;.	Enhancement Gel	https://www.pureromance.com/getmetafile/11b0a045-0217-4d5b-b97b-a42d40caed4a/Amp_Original_0416.aspx	True	Amp Enhancement Gel Original	24	368
03914	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Sexy-Spreader-Sex-Sling	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Get inventive in the bedroom! Sexy Spreader lets you hold your legs comfortably at any angle!	Sex Sling	https://www.pureromance.com/getmetafile/acd38655-aa27-45ec-bb40-41d9502af5b9/SexySpreader_0416.aspx	True	Sexy Spreader Sex Sling	42	27
03963	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Bosom-Buddy-Vanilla-Cupcake		new	Bosom Buddy&nbsp;ups your foreplay game with tingling sensations on your lips and nipples. Silky and kissable, it also doubles as a moisturizing cream!	Tingling Lip &amp; Nipple Balm	https://www.pureromance.com/getmetafile/46b3ee4e-423a-4b33-9d2d-f61f4baffbd8/BosomBuddy_VanillaCupcake_0416.aspx	True	Bosom Buddy - Vanilla Cupcake	18	126
03966	https://www.pureromance.com/Shop/Massage/Heart-Throb	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	These round massagers have an edge! Each circle massager contains a bullet to shake up a night in, and hand straps for easy use!&nbsp;	Heated Massagers With Bullets	https://www.pureromance.com/getmetafile/c3a1aad1-0a44-42b5-84f9-fc85c71d47fb/HeartThrob_0416.aspx	True	Heart Throb	49	116
03967	https://www.pureromance.com/Shop/Couples/Sex-Games/Date-Night-2-Game-Three-Deck-Adult-Card-Game		new	Date Night 2 is an adult card game that will help you up the ante in the bedroom! With a variety of ways to play and three decks of sexy suggestions, Date Night 2 sets the table so you can go all in!	Three-Deck Adult Card Game	https://www.pureromance.com/getmetafile/74bd1134-36f2-4e99-86c8-70ec419512eb/DateNight2_0416.aspx	True	Date Night 2 Game Three Deck Adult Card Game	19	93
03988	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Vanilla-Bondage-Kit	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Everyone loves a little vanilla! The&nbsp;Vanilla Bondage Kit&nbsp;makes it easy to bring fantasies to life. Includes soft, silky, cream colored restraints and a blindfold. The bondage kit stores neatly in its own container.	Beginner&#39;s bondage set	https://www.pureromance.com/getmetafile/991d57c7-456c-463c-a9d7-6febf2738fa2/VanillaBondage_0416.aspx	True	Vanilla Bondage Kit	16	92
03992	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Simply-Silk	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Simply Silk is the perfect lubricant for any toy! This silky-smooth, long-lasting lubricant will hold up against any sex toy, no matter how powerful!	Toy-Friendly Lubricant	https://www.pureromance.com/getmetafile/3c88c54a-368c-4ef3-aab8-1002c93343fa/SimplySilk_0416.aspx	True	Simply Silk	24	163
04083	https://www.pureromance.com/Shop/Sex-Health/Ben-Wa-Balls-Vaginal-Exercisers	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	For centuries, Ben Wa Balls have helped women ensure they&rsquo;re exercising their vaginal walls and bladder muscles in a way that will positively impact sexual arousal and restore and maintain vaginal elasticity.	Vaginal Exercisers	https://www.pureromance.com/getmetafile/974d12e7-3542-4a56-9439-67555d3fef18/BenWaBalls_Web_0817-(002).aspx	True	Ben Wa Balls Vaginal Exercisers	25	102
04127	https://www.pureromance.com/Shop/Sex-Health/Exercise-Her	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Invest in your sexual health with Exercise-Her. These weighted balls can help you achieve greater control over your orgasm and add longevity to your sex life.	Weighted Vaginal Exerciser Balls	https://www.pureromance.com/getmetafile/1a65cda7-24e1-4328-9ab2-d24d80daf03f/ExerciseHerCollectionHer_0416.aspx	True	Exercise-Her	39	59
04134	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Just-Like-Me-Gel-Lubricant-Maui-Coconut	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	You know you need a lubricant when it&rsquo;s time to get intimate, but sometimes you need one to feel just like you. Just Like Me is pH balanced and gentle so it imitates your natural moisture!	Gel Lubricant	https://www.pureromance.com/getmetafile/15569866-5e38-47de-8afc-2a615071dfb3/JLM_MauiCoconut_Web2.aspx	True	Just Like Me Gel Lubricant Maui Coconut	20	139
04141	https://www.pureromance.com/Shop/Massage/In-Good-Hands	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Caress and please your partner with textured massage gloves that add magic to every moment. The nubbies on each of these marvelous mittens put the power of foreplay In Good Hands.	Textured Massage Glove	https://www.pureromance.com/getmetafile/a490b4ed-f0a8-485c-80a7-7b5d319aab6d/InGoodHands_0416.aspx	True	In Good Hands	24	136
04168	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Kiss-Refreshing-Body-Splash-Sweet-Fantasie		new	A light body splash with an alluring scent, Kiss will have you feeling sexy and rejuvenated all day long.SCENT:&nbsp;Smells like hints of sweet vanilla and pineapple sorbet.	Refreshing Body Splash	https://www.pureromance.com/getmetafile/5f86a487-25f6-4a62-88ca-f8f61a7e2f3c/Kiss_SweetFantasie_0416.aspx	True	Kiss Refreshing Body Splash Sweet Fantasie	20	61
04171	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Coochy-Conditioning-Shave-Cream-Sweet-Fantasie	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Join the smooth-skin revolution! One of our most popular products, Coochy&reg; blocks those little red bumps from appearing on your bikini area, underarms, legs, and anywhere else you shave. Sure to become your shower go-to, this shave cream helps skin look sexy, smell delicious, and feel irresistibly soft to the touch during your most intimate moments.SCENT: Smells like hints of sweet vanilla and pineapple sorbet.	Conditioning Shave Cream	https://www.pureromance.com/getmetafile/f07cb2bf-32a9-4a66-a8a7-b5bf22cd249c/Coochy_SweetFantasie_0416.aspx	True	Coochy Conditioning Shave Cream Sweet Fantasie	20	328
04173	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Coochy-Conditioning-Shave-Cream-Original	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Join the smooth-skin revolution! One of our most popular products, Coochy&reg; blocks those little red bumps from appearing on your bikini area, underarms, legs, and anywhere else you shave. Sure to become your shower go-to, this shave cream helps skin look sexy, smell delicious, and feel irresistibly soft to the touch during your most intimate moments.SCENT: Smells like soft cashmere and fresh white pearls.	Conditioning Shave Cream	https://www.pureromance.com/getmetafile/962d70e3-fe86-4acb-8be1-98b1a03ce612/Coochy_Original_0416.aspx	True	Coochy Conditioning Shave Cream Original	20	458
04175	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Body-Dew-After-Bath-Oil-Sweet-Fantasie		new	Body Dew&nbsp;keeps even the driest skin happily hydrated and feeling years younger. This gentle moisturizer is infused with beneficial sweet almond oil. A quick spritz after each shower will make your skin feel softer than ever.SCENT:&nbsp;Smells like hints of sweet vanilla and pineapple sorbet.	After-Bath Oil Mist	https://www.pureromance.com/getmetafile/43b74c6c-cb4d-499b-b899-14c2c3a2a77f/BodyDew_SweetFantasie_0416.aspx	True	Body Dew After Bath Oil Sweet Fantasie	20	172
04177	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Body-Dew-After-Bath-Oil-Mist-Original		new	Body Dew&nbsp;keeps even the driest skin happily hydrated and feeling years younger. This gentle moisturizer is infused with beneficial sweet almond oil. A quick spritz after each shower will make your skin feel softer than ever.SCENT:&nbsp;Smells like soft cashmere and fresh white pearls.	After-Bath Oil Mist	https://www.pureromance.com/getmetafile/f104f1dc-ce8f-40c3-a8f7-f2aa3d472a95/BodyDew_Original_0416.aspx	True	Body Dew After Bath Oil Mist Original	20	82
04179	https://www.pureromance.com/Shop/Massage/Between-the-Sheets-Island-Breeze	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	There&#39;s no denying that fresh is sexy. Between the Sheets is a powder-based spray that adds a majestic scent anywhere you spritz it. Between the Sheets absorbs moisture, putting an end to the dreaded wet spot!	Powder-Based Linen Spray	https://www.pureromance.com/getmetafile/3dea05ec-c5a4-4133-9169-a73f6645698f/BetweenTheSheets_IslandBreeze_0115.aspx	True	Between the Sheets Island Breeze	18	112
04181	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Miracle-Oil-Skin-Healing-Formula	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Your prayers for an end to dry, cracking skin have finally been answered. Miracle Oil contains tea tree oil and other essential oils to keep skin looking healthy and immaculate!	Skin-Healing Formula	https://www.pureromance.com/getmetafile/30e0ba16-6702-45c6-b976-143b23b21411/MiracleOil.aspx	True	Miracle Oil Skin Healing Formula	20	284
04182	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Save-My-Skin-Stretch-Mark-Reducer		new	Save My Skin nourishes with essential oils that allow the skin to stay comfortably moisturized. Nutrient-rich and packed with essential oils to help reduce stretch marks.	Stretch Mark Reducer	https://www.pureromance.com/getmetafile/32c8bf36-ade8-4f11-ad13-88a61096591e/SaveMySkin_0416.aspx	True	Save My Skin Stretch Mark Reducer	24	149
04183	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Skin-Therapy-Protecting-Aftershave		new	Before showing off your newly shaved legs, protect them! Skin Therapy moisturizes your skin and tightens your pores. It helps fight off blackheads, bacteria, and even helps eliminate ingrown hairs.	Protecting Aftershave	https://www.pureromance.com/getmetafile/f2cbb30b-512e-46dc-8661-217c665440fc/SkinTherapy_0416.aspx	True	Skin Therapy Protecting Aftershave	18	272
04187	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Just-Like-Me-Gel-Lubricant-Original	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	You know you need a lubricant when it&rsquo;s time to get intimate, but sometimes you need one to feel just like you. Just Like Me is pH balanced and gentle so it imitates your natural moisture!	Gel Lubricant	https://www.pureromance.com/getmetafile/f53e6a27-f8fd-4bb6-afa7-07dea8243ede/JLM_Original_0416.aspx	True	Just Like Me Gel Lubricant Original	20	858
04189	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Pure-Pleasure-Silicone-Lubricant	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	When you are getting ready to pull an all-nighter, you need a lubricant that can last as long as you can. Pure Pleasure is a silicone-based lubricant designed to last as long as you can. Game on.	Silicone Lubricant	https://www.pureromance.com/getmetafile/41740a5e-08e2-4066-8591-b9ae303227a4/PurePleasure_0416.aspx	True	Pure Pleasure Silicone Lubricant	22	273
04191	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Sensations-Warming-Lubricant-Hot-Buttered-Rum	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Sensations lubricant goes on cool, but just wait. Add some friction or your warm breath. You&rsquo;ll feel a heat so thrilling, you&rsquo;ll swear you&rsquo;re in the tropics!	Warming Lubricant	https://www.pureromance.com/getmetafile/cf461bf3-fd7a-4771-9ac4-b647defbd81d/Sensations_HotButteredRum_0416.aspx	True	Sensations Warming Lubricant Hot Buttered Rum	16	155
04193	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Whipped-Rainbow-Sherbet	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Whipped creamy lubricant is the ultimate win-win. Your guy gets an emollient lubricant designed for use with c-rings and male sleeves, and you get kissable flavors to enhance oral favors.	Creamy Lubricant	https://www.pureromance.com/getmetafile/76857cf6-25d3-41e0-b898-0d9a974e6046/Whipped_RainbowSherbet_0416.aspx	False	Whipped Rainbow Sherbet	20	0
04200	https://www.pureromance.com/Shop/Sex-Toys/Anal-Toys-Play/Booty-Eaze-Anal-Soothing-Gel	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Booty Eaze gel helps you prepare to take things to a new level and make your anal activity as comfortable and enjoyable as possible.	Anal Soothing Gel	https://www.pureromance.com/getmetafile/64a6af60-00f1-4c44-8070-899c90a974bd/BootyEaze_0416.aspx	True	Booty Eaze Anal Soothing Gel	15	1781
04201	https://www.pureromance.com/Shop/Sex-Toys/Cleaners-Care/Come-Clean-Adult-Sex-Toy-Cleaner-4-fl-oz-120-ml	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Soap and water will leave your toy dry and cracked, making it a bacteria colony. That&rsquo;s definitely not sexy. Come Clean toy cleaner is an absolute must, because it is specially formulated to keep your toy as good as new.	Adult Sex Toy Cleaner	https://www.pureromance.com/getmetafile/5ba6b666-589c-4110-9a98-36f0940d0f13/ComeClean_0416.aspx	True	Come Clean Adult Sex Toy Cleaner 4 fl oz 120 ml	12	172
04202	https://www.pureromance.com/Shop/Sex-Toys/Cleaners-Care/Come-Clean-Adult-Sex-Toy-Cleaner-8-fl-oz-240-ml	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Soap and water will leave your toy dry and cracked, making it a bacteria colony. That&rsquo;s definitely not sexy. Come Clean toy cleaner is an absolute must, because it is specially formulated to keep your toy as good as new.	Adult Sex Toy Cleaner	https://www.pureromance.com/getmetafile/da2dcae8-a476-4e18-9841-5cccc0d1cf19/ComeClean_0416.aspx	True	Come Clean Adult Sex Toy Cleaner 8 fl oz 240 ml	16	396
04203	https://www.pureromance.com/Shop/Lube-Creams/Lubricants/Whipped-Vanilla-Cupcake	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Whipped creamy lubricant is the ultimate win-win. Your guy gets an emollient lubricant designed for use with c-rings and male sleeves, and you get kissable flavors to enhance oral favors.	Creamy Lubricant	https://www.pureromance.com/getmetafile/608b476c-7d02-4449-87ea-a27fe3105902/Whipped_VanillaCupcake_0416.aspx	True	Whipped Vanilla Cupcake	20	298
04229	https://www.pureromance.com/Shop/Sex-Health/Like-a-Virgin-24-Hour-tightening-cream	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Like a Virgin makes it feel like the first time! This alum-based tightening cream makes the vaginal walls contract for up to 24 hours, so you feel tighter to him and he feels larger to you.	24-Hour Tightener	https://www.pureromance.com/getmetafile/d59bdafd-54f9-4fbd-ba50-865899bb85d2/LikeAVirgin_0416.aspx	True	Like a Virgin 24 Hour tightening cream	20	932
04234	https://www.pureromance.com/Shop/Sex-Toys/Cleaners-Care/Toy-Tote-Sex-Toy-Storage-Bag	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	You have a special place for everything in your house &mdash; why should your sex toys be any different? Toy Tote is an easy, discreet way to store your bedroom accessories in a safe, stealthy way!	Discreet Sex Toy Storage Bag	https://www.pureromance.com/getmetafile/7cbaf332-2b1a-48f1-847d-e48be93a3389/ToyTote_0416.aspx	False	Toy Tote Sex Toy Storage Bag	16	0
04236	https://www.pureromance.com/Shop/Lube-Creams/Performance/Up-All-Night-Prolonging-Cream-for-Him	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Want your guy to spend more time pleasing you? Surprise him with a tube of Up All Night! This cream is formulated just for men and helps fantastic lovemaking last even longer!	Prolonging Cream for Him	https://www.pureromance.com/getmetafile/d8329e6a-7704-427d-b93e-650e1c0107ff/UpAllNight_CherryLimeade_0416.aspx	False	Up All Night Prolonging Cream for Him	16	0
04237	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Tickle-and-Whip-Double-Ended-Play-Whip-Black	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Who do you want to be? The intense lover who takes control in the bedroom? The gentle partner who longs for gentle lovemaking? Tickle &amp; Whip lets you be both. With rubber strands on one end and soft feathers on the other, this versatile toy is ready for whatever mood strikes you.	Double-Ended Play Whip	https://www.pureromance.com/getmetafile/67af8de2-c439-40de-ba62-47204e1d0251/TickleWhip_Black_0416.aspx	True	Tickle and Whip Double Ended Play Whip Black	16	112
04238	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Tickle-and-Whip-Double-Ended-Play-Whip-Pink	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Who do you want to be? The intense lover who takes control in the bedroom? The gentle partner who longs for gentle lovemaking? Tickle &amp; Whip lets you be both. With rubber strands on one end and soft feathers on the other, this versatile toy is ready for whatever mood strikes you.	Double-Ended Play Whip	https://www.pureromance.com/getmetafile/fd3e8cf4-f6bc-4fdd-8853-1e6d6e215992/TickleWhip_Pink_0416.aspx	True	Tickle and Whip Double Ended Play Whip Pink	16	16
04296	https://www.pureromance.com/Shop/Massage/Burning-Desire-Soy-Massage-Oil-Candle	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Ignite a flame with Burning Desire! Burn this soy massage oil candle and let the sweet, fragrant oil take over your body. Melted massage oil is great for doubling as a warm, rich body balm. Lasts up to 20 massages.	Soy Massage Oil Candle	https://www.pureromance.com/getmetafile/d9a5ff87-2d27-43ec-9bd5-5fc30060813b/BurningDesire_0416.aspx	True	Burning Desire Soy Massage Oil Candle	24	129
04313	https://www.pureromance.com/Shop/Lube-Creams/Enhancement-Creams/Boost-Flavored-Enhancement-Cream-Candy-Apple	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Magnify every passionate moment with an arousing formula that includes the Pure Romance exclusive TriPlex Tingle&trade;. This rich, flavored enhancement cream can help provide the boost you desire.	Flavored Enhancement Cream	https://www.pureromance.com/getmetafile/fd70597c-26f0-4f6b-91fd-aa7f65f004c7/Boost_CandyApple_0416.aspx	True	Boost Flavored Enhancement Cream Candy Apple	20	61
04314	https://www.pureromance.com/Shop/Lube-Creams/Enhancement-Creams/O-Couples-Enhancement-Cream-Strawberry-Kiwi	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	The strongest of the Pure Romance enhancement creams, &ldquo;O&rdquo; features our exclusive TriPlex Tingle&trade;. It&#39;s powerful enough for both women and men to enjoy.	Couples&#39; Enhancement Cream	https://www.pureromance.com/getmetafile/2539c06b-784d-4204-80c1-ba7be4f1e38a/O_StrawberryKiwi_0416.aspx	True	O Couples Enhancement Cream Strawberry Kiwi	20	45
04315	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Bosom-Buddy-Pina-Colada	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Bosom Buddy&nbsp;ups your foreplay game with tingling sensations on your lips and nipples. Silky and kissable, it also doubles as a moisturizing cream!	Tingling Balm	https://www.pureromance.com/getmetafile/9f2eff7c-32a2-4461-94b5-de94f518af71/BosomBuddy_PinaColada_0217.aspx	False	Bosom Buddy - Pina Colada	18	0
04334	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Body-Boost-Firming-Cream		new	Defy the laws of aging and gravity with a cream that helps lift and firm problem areas as it smoothes and tones your skin. (Don&rsquo;t worry, we won&rsquo;t tell your workout buddies!)	Firming Cream	https://www.pureromance.com/getmetafile/4c1c9a19-29c9-418e-8d9a-b36d29e3924e/BodyBoost_0416.aspx	True	Body Boost Firming Cream	30	3360
04335	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Revive-Skin-Repair-Cream		new	Keep your skin healthy and moisturized with this all-over repair cream featuring essential oils and shea butter. &nbsp;Specially formulated for cuticles and extremely dry, cracked skin.	Skin Repair Cream	https://www.pureromance.com/getmetafile/b59219a7-83f4-4371-98ae-42ddeeca980b/Revive_0416.aspx	True	Revive Skin Repair Cream	24	89
04342	https://www.pureromance.com/Shop/Bath-Beauty/Beauty-Cosmetics/Kiss-Refreshing-Body-Splash-Love-Story		new	A light body splash with an alluring scent, Kiss will have you feeling sexy and rejuvenated all day long.SCENT: Smells like sensual amber and warm vanilla	Refreshing Body Splash	https://www.pureromance.com/getmetafile/62ad94c5-17f3-4149-85b8-2b391b846e06/Kiss_LoveStory_0416.aspx	True	Kiss Refreshing Body Splash Love Story	20	104
04343	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Coochy-Conditioning-Shave-Cream-Love-Story	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Join the smooth-skin revolution! One of our most popular products, Coochy&reg; blocks those little red bumps from appearing on your bikini area, underarms, legs, and anywhere else you shave. Sure to become your shower go-to, this shave cream helps skin look sexy, smell delicious, and feel irresistibly soft to the touch during your most intimate moments.SCENT:&nbsp;Smells like sensual amber and warm vanilla.	Conditioning Shave Cream	https://www.pureromance.com/getmetafile/35a51df1-6108-4e46-a6b4-bab495a49058/Coochy_LoveStory_0416.aspx	True	Coochy Conditioning Shave Cream Love Story	20	1450
04344	https://www.pureromance.com/Shop/Bath-Beauty/Bath-Shower/Body-Dew-After-Bath-Oil-Mist-Love-Story		new	Body Dew&nbsp;keeps even the driest skin happily hydrated and feeling years younger. This gentle moisturizer is infused with beneficial sweet almond oil. A quick spritz after each shower will make your skin feel softer than ever.SCENT:&nbsp;Smells like sensual amber and warm vanilla.	After-Bath Oil Mist	https://www.pureromance.com/getmetafile/734bb5cc-c385-4163-af53-5c20311fa04a/BodyDew_LoveStory_0416.aspx	True	Body Dew After Bath Oil Mist Love Story	20	458
04371	https://www.pureromance.com/Shop/Lube-Creams/Performance/Great-Head-Luscious-Lemonade	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Make oral sex as enjoyable for you as it is for him. Great Head can help by relaxing your throat and adding some flavor to your oral favors.	Oral Delight Gel	https://www.pureromance.com/getmetafile/cbe326bb-f41c-435f-b0bf-2c7e85fcea6e/GreatHead_LusciousLemonade_0416.aspx	True	Great Head Luscious Lemonade	20	108
04375	https://www.pureromance.com/Shop/For-Guys/Men-s-Grooming/Shave-Legend-Men-s-Shaving-Cream	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Legends, like lions, deserve respect. Tame your mane with this well-crafted shave cream. It glides on smooth and helps protect against razor bumps so you can prowl with confidence.	Scented men&rsquo;s shaving cream	https://www.pureromance.com/getmetafile/58095d3a-7e18-4bac-8a51-2f776500cba6/Shave_Legend_0416.aspx	True	Shave Legend - Men's Shaving Cream	20	116
